"gene","cluster_1","cluster_2","cluster_3","cluster_4"
"gm26759",0.0149209344233134,0.0094727239861464,0.0032755309539699,0.147217245035133
"irf2bp2",0.0667300246809367,0.0641053657069531,0.0545244522640867,0.524229116811674
"tomm20",1.57812528280496,1.1540210279519,0.917774475612464,1.551258020181
"rbm34",0.177334399025541,0.166236882494145,0.114819759132622,0.229267052898456
"nrp1",0.384030537844128,0.0362014240757721,0.0626144167186298,0.444016913649279
"itgb1",0.71437037049495,0.983174537789969,0.956455431091331,0.421140852822811
"x2610044o15rik8",0.0748163838070936,0.0702337881773024,0.0292868257134742,0.0494455337743225
"gm3636",0.0190605327794077,0.00345545367573982,0.00143928951086261,0.0120162698632446
"flnb",0.0583139232110224,0.0174674323687753,0.117148956740015,0.0275956526412928
"dnase1l3",0.00390795587797069,0.00240215834622891,0.0793628256679672,0.068633261481404
"abhd6",0.0587822744414218,0.0142216428643772,0.0109678696763627,0.177151225777948
"rpp14",0.13650122270172,0.131644581602736,0.058196378940185,0.122753787639662
"pxk",0.0932610182206069,0.0912410886508197,0.0837795589444767,0.0936187096739802
"pdhb",0.279807585099388,0.216493280631012,0.157945632575067,0.220655009145379
"kctd6",0.0124332838909154,0.0119174586907451,0.00819723713203677,0.00997797248256554
"fhit",0.00772130038168766,0.0316600758824335,0.00297767066489673,0.0465979378339232
"rpl21.ps4",0,0.000902402872272229,0,0
"gm3839",0.0282285652440426,0.0110977591785644,0.00751132558510259,0.00888573706031433
"x3830406c13rik",0.356750865639135,0.28050396689657,0.396501075896986,0.271146955311529
"thoc7",0.604408553604472,0.436426690655462,0.356001426232843,0.432830103989798
"atxn7",0.172373681399809,0.110591707261985,0.185331204153501,0.14816612889893
"psmd6",0.51692981099958,0.408435944527121,0.293192094318587,0.528598538598501
"il3ra",0.247446164816607,0.137558418660322,0.174737229344518,0.206449641956621
"slc4a7",0.0827483475284641,0.0400257251847888,0.00664991586603781,0.0802746660498999
"oxsm",0.0145638667207592,0.0447184363195996,0.0283523134950545,0.0309772732035464
"ngly1",0.236132004864977,0.14339971871671,0.0773155192039784,0.171276503057943
"top2b",0.254754610695083,0.234758372124258,0.142869585269607,0.226058099382983
"rarb",0,0,0,0
"nr1d2",0.00597954462890705,0.0219486227461665,0.00260025704182063,0.0102577732647261
"rpl15",2.55241303224778,2.24768526880636,2.11949792480368,2.0530585103139
"nkiras1",0.0626548113399585,0.0740475559537842,0.0289091299134611,0.0868556175028205
"ube2e1",0.427159304659536,0.469356333949916,0.262355783386065,0.598870972650222
"ube2e2",0.00147566544115264,0.00337362535556703,0.0227605914180483,0.00384646739713511
"gm2237",0.00659562965600955,0.00400123398003486,0,0.00656103911502097
"nid2",0.000652066140069022,0.000784498724134375,0.00355815421414744,0.0092336420502975
"x2700060e02rik",1.38461743573587,1.08305062053548,1.47771325452617,1.39975976818636
"gng2",1.14115789147803,0.585792935953094,0.234586286194715,0.748900232115162
"saysd1",0.178430435871847,0.138443456994195,0.0849312292316768,0.315303037767711
"kcnk5",0.0538098174353688,0.0223272112629225,0.0036610889378511,0.00149438123726549
"nudt13",0.0257351802537226,0.0473469026633718,0.0252161399366924,0.0632004632409741
"ecd",0.150547397364368,0.107785357191905,0.0594833413670045,0.257385251857522
"fam149b",0.0464042086720537,0.0299967414741302,0.0297199775661653,0.0738575189540751
"dnajc9",0.715163057263784,0.351141158361079,0.12093159318151,0.395753942878217
"mrps16",1.17398569990196,0.750194590949589,0.522150938730997,0.93831653446354
"anxa7",0.486239751001818,0.327717832561242,0.526658585203162,0.567749644774801
"mss51",0.00347225030801578,0.00847125119431829,0.00640810064695741,0.0147424512024467
"ppp3cb",0.21080046302276,0.153701404149434,0.18003966701106,0.153319650877442
"x1810062o18rik",0.0191772885510631,0.00647220995214181,0.00521775496321655,0.00741861504922081
"usp54",0.00365231062886632,0.000779656060414191,0.0052218895470273,0.0036694253064238
"x2810402e24rik",0.0450043729775178,0.0797731985221526,0.0550333838924778,0.118960033627465
"myoz1",0,0,0,0
"sec24c",0.142227020950659,0.123699650152153,0.119505345321143,0.135724002992677
"x6230400d17rik",0.0173816957047691,0.0112430577023896,0.00731533221085478,0
"fut11",0.0836877520810001,0.0809089619506229,0.0637915645323019,0.0797548568921998
"chchd1",0.600800119467376,0.511036811277419,0.415838144855961,0.566806364143049
"zswim8",0.0583405574465706,0.0661678133588369,0.0989972551470196,0.0780621987647176
"ndst2",0.0267564778463672,0.0208419154490744,0.0388611798562657,0.0421152922776195
"camk2g",0.263102317572269,0.335216398492114,0.0857771224203349,0.13189473724079
"plau",0.00315800136039685,0.00426977306457184,0.00370284381492856,0.00208147136955619
"vcl",0.02276297846352,0.033410968988035,0.132174951326169,0.0753091721924229
"ap3m1",0.108502802112457,0.0666535745224625,0.0627592137033748,0.159415290105756
"adk",0.119614031291072,0.0467261522360989,0.0189894236777241,0.650894720261905
"kat6b",0.0364655115418276,0.030656416256169,0.0248434973855263,0.0623584827546685
"samd8",0.0331933768058884,0.0303728202612915,0.0603557161620186,0.0379709734643439
"vdac2",1.11428435630749,0.857823565636717,1.01956453089511,0.978473078589975
"comtd1",0.14770454824249,0.129117837156834,0.111578647775636,0.122451430531408
"zfp503",0,0.00130605785269932,0,0
"x1700112e06rik",0,0.00202862377675171,0,0
"polr3a",0.0406911838730216,0.0207932870850796,0.020399039776732,0.0309817765581681
"rps24",4.00718438980441,4.07257000511035,3.58209070902221,3.88688781796363
"zmiz1os1",0,0.00181481995462838,0.0022855989554645,0
"zmiz1",0.213230686434515,0.247195215188521,0.270232181063443,0.155286142490485
"gm26772",0,0,0.00303882181741587,0
"ppif",0.136725073677985,0.146233492360446,0.0573792691438798,0.611661426119324
"zcchc24",0.00558454311953857,0.0206410774296784,0.0136846006256268,0.162819830044963
"anxa11",0.544408747876827,0.307124912089505,0.2005610891738,0.208816470931106
"anxa11os",0.00365404637983763,0.00753698257850907,0.00297060902789107,0
"slmap",0.0942195528789158,0.0930400421632601,0.0999712072043994,0.0681718043901393
"gm2178",0.0046597918030724,0.00204755597743235,0.00219137665271759,0.00228821609221889
"dennd6a",0.030942253164339,0.031212500096314,0.0783189930058916,0.122075276542427
"arf4",0.65744363200638,0.661321787845391,1.34401195935762,1.09861767556171
"pde12",0.114618062676073,0.0961126713163543,0.0313605259749217,0.103048937901825
"appl1",0.184721329228543,0.182654948342057,0.395182530963636,0.183609302049443
"hesx1",0.00246676112273675,0,0.000415640432735017,0.00497410754341096
"il17rd",0.00432261920308553,0.00553150740824974,0.000637282276844747,0
"arhgef3",0.140152151370259,0.157724369606859,0.0456570956931392,0.0360649605096325
"fam208a",0.0632486900491816,0.0658478286888341,0.0930758867268101,0.0674384093994479
"ccdc66",0.0753881357731872,0.0433541136408873,0.015594899655545,0.0385358213639458
"erc2",0,0,0,0
"selk",1.32367334365119,1.24231891628383,1.51162032193104,1.37986587835602
"actr8",0.0961278559782517,0.13246039616444,0.115591106757379,0.116321319875649
"chdh",0.00152810482396667,0,0,0.188385723141868
"cacna1d",0.00297902756312169,0,0.0412396762982644,0.0575152124816901
"dcp1a",0.0458309135805236,0.0292447816966763,0.0659784850080488,0.0184981870702617
"tkt",1.00032401723886,0.684585709713766,0.752772168473814,1.16739100445643
"prkcd",0.143080486804265,0.17758634029897,0.722872678044381,0.951024895723451
"rft1",0.037863095905455,0.0256757640099595,0.0276849621671324,0.0606661645243538
"sfmbt1",0.0284045855794806,0.0358442615732971,0.0986492300828158,0.0473931830847764
"tmem110",0.091743290289849,0.0609132024601765,0.118533080022723,0.0573294257154141
"mustn1",0,0.000504050652371201,0,0
"nek4",0.00660203508963579,0.00533028065395049,0.00850718812895764,0.00527621105984258
"spcs1",1.09747988134982,0.971756399806498,0.645249040246104,1.24455510908533
"glt8d1",0.0584270903857539,0.0485053499773899,0.0560866261899532,0.111543924641713
"gnl3",0.162527863658433,0.198551601478241,0.066206031447812,0.260541697141798
"pbrm1",0.345767701601489,0.28866240960204,0.389531949420211,0.356077999867824
"smim4",0.202882022522866,0.238353997661612,0.074795248524963,0.353791416208069
"nt5dc2",0.00824157027295544,0.0104173229904571,0.0096529727324259,0.00747787553257163
"stab1",0,0.00902174571357818,0.011999828957596,0.0102022229199224
"nisch",0.289552934970907,0.29455141813865,0.299784368253014,0.363420553586929
"tnnc1",0,0.00146854656655954,0.001523265760235,0
"phf7",0.0262750925528689,0.0322870166070497,0.0250617096786563,0.0674559037697323
"bap1",0.0732602767712903,0.0509038447183752,0.0645384215086636,0.0648247936061558
"capn7",0.0761273438148886,0.0638838369266233,0.0613265567450623,0.104777014749157
"sh3bp5",0.0273833265911382,0.0259263211577788,0.0425861188478202,0.00420346909716585
"mettl6",0.097139672889864,0.0930971101741378,0.0645378113217957,0.0841028490721585
"eaf1",0.0759043181648693,0.0400981149245465,0.0470350483809087,0.0506743286995189
"colq",0.00264698394354377,0.0070951801565809,0,0
"hacl1",0.0462703381846201,0.0376387742213675,0.00952887301587303,0.101742991655282
"btd",0.122024008568044,0.0517819716622917,0.0192913536132951,0.172366273569521
"ankrd28",0.0159316655602115,0.00821645072433471,0.000527349673520666,0.00286814269724267
"dph3",0.587529305955337,0.503055324360879,0.289192173205022,0.33795096654062
"oxnad1",0.0416447766630596,0.042974693415682,0.00882962289877345,0.0504255610152982
"ncoa4",0.00823521141246682,0.00316328928424166,0.0224505160075843,0.00747473960054501
"timm23",0.0225809309782237,0.0186580289503889,0.010791988434328,0.0184933756211636
"parg",0.0961087400271415,0.0795850687124654,0.0597306234525334,0.0704570742920128
"ercc6",0.017939423775063,0.0192505202235177,0.0210568618045423,0.01642025019745
"x1810011h11rik",0.024891147741297,0.00154081338574638,0,0.00125606918393676
"wdfy4",0.0144837687415733,0.0149463392382868,0.045705872657755,0.162263884848863
"arhgap22",0.00383445284023551,0.00250525099173647,0.373287833697051,0.015696326018477
"mapk8",0.0318263548216077,0.0407402308157266,0.0418542867019263,0.0394551841433187
"rpl23a.ps3",1.30274859476695,1.19820886127048,1.03312672767251,0.847723693591214
"fam35a",0.0227865227885974,0.0180009758151566,0.0178053542045396,0.0481429779842975
"glud1",0.64053227745908,0.429923860249275,0.806375662667283,0.414725866009695
"wapl",0.244259905952795,0.235241765371776,0.218709423329769,0.234575319238023
"ccser2",0.123274736976669,0.0784075173854931,0.401471512822557,0.0748167587653846
"x2610528a11rik",0.00134261483582678,0,0.0110619960303517,0
"ghitm",0.718407142005027,0.561984398053868,0.855556614906319,0.623786419763155
"tspan14",0.189156765667094,0.0974992168647395,0.0568615050351268,0.228247825840869
"fam213a",0.114193623071533,0.0197894411652631,0.0172038773842011,0.0118395648264385
"ear1",0,0,0,0.00147466488241141
"gm8113",0,0,0,0
"ear2",0.0100842966109437,0.0212962663195148,0.03727297743408,0.0528053455585622
"gm17173",0.0211780048918253,0.00673244075799365,0,0.00151381339944527
"ptger2",0.0876103648648804,0.0386689655952266,0.00901119644483763,0.00130157506921964
"txndc16",0.0281400768512832,0.0216661235162419,0.00622030016656974,0.043140306572075
"ero1l",0.246517177676736,0.133897417283636,0.0689286596073981,0.0820071734530329
"psmc6",0.54803464559899,0.461549241341747,0.446173921046134,0.465516823083394
"styx",0.0183964193713548,0.00564527012748746,0.0106943524021213,0.00792816305016373
"gnpnat1",0.276306138687023,0.239998041542837,0.106300307883405,0.116288470821805
"ddhd1",0.0319450508777213,0.0234560244705378,0.151800294161478,0.0147611641177757
"cdkn3",0.0899619829849203,0.0221271593638948,0.00817142088293332,0.00765332585166355
"cnih1",0.433331165489564,0.315137705455263,0.256499437351334,0.448303715196961
"gmfb",0.274520849970136,0.230738636992858,0.174191329252441,0.256438207972168
"gm10101",0.0104487989051111,0.0135414584154579,0.0035825113819066,0.00931919099872657
"cgrrf1",0.0857320365111028,0.138702498091988,0.0420977264132169,0.0951854311876982
"gch1",0.285668708374402,0.115886474512115,0.156194173136652,0.103310639451066
"wdhd1",0.0546730789459187,0.0268729558530392,0.0151092207013444,0.0024666011283368
"socs4",0.100789471652129,0.0780854736768486,0.104081936201403,0.115060951135838
"mapk1ip1l",0.179952827566013,0.127379025150175,0.218948731776966,0.156718960089542
"lgals3",1.60031387546972,0.844300689516677,1.57587143530771,0.71940667812743
"dlgap5",0.0325318001554992,0.0143024813894399,0.0160075416192695,0.00783597822682193
"fbxo34",0.0268455490761186,0.0471979908335134,0.029444599401559,0.0637389401482162
"atg14",0.0282785918825464,0.0159051883072059,0.0358555396557944,0.041965022061824
"ktn1",0.167312328326159,0.153101562180594,1.00492476512685,0.17867726698387
"peli2",0.00187022031510826,0.00400289368598261,0.0139723589147474,0.140665946073651
"tmem260",0.0496347989934113,0.050157347691397,0.0346580818258933,0.0895796501993451
"exoc5",0.140495677907861,0.119882562672713,0.132012203683029,0.160625815311837
"ap5m1",0.047294297669758,0.0519974602566213,0.0530382740686756,0.0641336139032227
"naa30",0.0723669256767341,0.0412255479266332,0.0258674602330942,0.0496600282668976
"tlr11",0,0.00173871387929335,0.0215837040150048,0
"ttc5",0.159913061799105,0.155396049057403,0.0701561938933324,0.130583422841996
"parp2",0.17055709284103,0.136807844124068,0.0919589939673356,0.168602814243637
"tep1",0.048194732250646,0.0474076564900601,0.0757877676709261,0.448164435488383
"gm26782",0.135815144425329,0.116635732072822,0.0699088375785839,0.0762184794911442
"a930018m24rik",0,0,0,0
"osgep",0.314702169600135,0.242809756506662,0.174187243629667,0.561747220757676
"apex1",0.181976529357687,0.124630352447588,0.0870875510146224,0.359126453610029
"tmem55b",0.151935921009998,0.168155559994523,0.256914349667351,0.58882188344744
"pnp",0.395619790375957,0.317177005478945,0.37634015751161,0.352255455337489
"pnp2",0.0113827531290658,0.00456399322691862,0.0497462030895562,0
"rnase12",0,0,0,0.00887904443278026
"rnase4",0.0118174657973556,0.00701731003088713,0.0147202825614202,0.0470612910730379
"ang",0.00763341881524791,0.00168136128541831,0.00519028520316058,0.025907897511097
"rnase6",0.0454424376227755,0.0416292810588386,0.199949902173311,2.54771002897728
"rnase2b",0.00130277443087626,0,0,0.00505478326673629
"rnase2a",0,0,0,0
"mettl17",0.0505036973732203,0.0551391269589387,0.0414626977089713,0.044168877921789
"slc39a2",0,0,0,0
