order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
299,3.68E-61,0.251470127,0.372,0.118,5.15E-57,1,Il18rap
300,4.31E-61,0.405266445,0.938,0.825,6.03E-57,1,Uba52
301,4.63E-61,-1.053044273,0.025,0.393,6.47E-57,1,Tppp3
302,5.31E-61,0.438931564,0.782,0.457,7.43E-57,1,Stk17b
303,1.39E-60,0.284684962,1,0.996,1.94E-56,1,Rpl36
304,1.84E-60,-0.727623196,0.644,0.775,2.57E-56,1,Anxa5
305,1.98E-60,0.385430557,1,0.992,2.76E-56,1,Cd52
306,3.05E-60,-0.664913886,0.052,0.421,4.26E-56,1,Aldh2
307,3.08E-60,0.25305735,1,0.998,4.30E-56,1,Rpl30
308,3.51E-60,0.318644313,1,0.998,4.91E-56,1,Actg1
309,1.54E-59,0.372604073,0.985,0.85,2.16E-55,1,Gltscr2
310,2.12E-59,-2.188075062,0.114,0.466,2.96E-55,1,Apoe
311,2.25E-59,0.44563225,0.707,0.368,3.15E-55,1,Rilpl2
312,2.43E-59,-0.745409507,0.185,0.542,3.39E-55,1,Anxa1
313,2.51E-59,-0.495941919,0.05,0.41,3.51E-55,1,Fes
314,5.72E-59,-0.800738573,0.044,0.409,8.00E-55,1,Rnase6
315,1.26E-58,0.338297101,0.605,0.278,1.76E-54,1,Eva1b
316,3.08E-58,-0.551522285,0.039,0.392,4.31E-54,1,Tifab
317,4.97E-58,0.380119612,0.586,0.284,6.96E-54,1,Ndfip2
318,5.32E-58,-1.95207941,0.123,0.468,7.43E-54,1,Ccl2
319,7.66E-58,0.423588243,0.879,0.577,1.07E-53,1,Pla2g16
320,8.58E-58,-0.945043334,0.017,0.368,1.20E-53,1,Mafb
321,9.76E-58,-0.676057997,0.056,0.413,1.37E-53,1,Oasl2
322,1.00E-57,-0.651655999,0.056,0.41,1.40E-53,1,Scimp
323,2.11E-57,0.252774994,1,0.998,2.95E-53,1,Rpl38
324,3.39E-57,0.308299058,0.434,0.163,4.75E-53,1,Crbn
325,3.65E-57,-0.744441434,0.345,0.699,5.11E-53,1,Klf2
326,4.22E-57,0.423419321,0.884,0.634,5.90E-53,1,Aes
327,7.36E-57,-0.986349156,0.162,0.506,1.03E-52,1,Cdkn1a
328,7.77E-57,0.275816553,0.318,0.098,1.09E-52,1,Adam19
329,8.47E-57,0.326764429,0.453,0.178,1.18E-52,1,Mmd
330,8.81E-57,-0.640942488,0.761,0.823,1.23E-52,1,Capza2
331,1.17E-56,0.357969181,0.437,0.168,1.64E-52,1,Chchd10
332,1.43E-56,0.365782521,1,0.982,2.00E-52,1,Gapdh
333,1.66E-56,0.252288837,0.998,0.99,2.32E-52,1,Btf3
334,1.79E-56,0.257352629,0.505,0.191,2.50E-52,1,Hsd11b1
335,1.93E-56,-0.635470096,0.289,0.594,2.71E-52,1,Lamp2
336,3.74E-56,-0.592848744,0.054,0.404,5.23E-52,1,Csf2rb
337,1.12E-55,0.504762762,0.803,0.578,1.57E-51,1,Gng2
338,1.21E-55,-0.481265189,0.983,0.977,1.69E-51,1,Cyba
339,2.10E-55,0.294387004,0.996,0.997,2.94E-51,1,Rpl28
340,2.68E-55,0.412492057,0.724,0.429,3.75E-51,1,Fundc2
